url,name,address,phone
https://www.navigator.az/firm/9338/info/,BUTA Aptek Azadlig,"Хандана Джафара 3066, 8-й мкр. Бинагадинский район Азадлыг","(+99455) 455-85-68,(+99412) 436-31-54"
https://www.navigator.az/firm/762/info/,APTEK №49,"Фаталиева Мухтара 4089, пос. Бакиханова Сабунчинский район",(+99412) 428-12-83
https://www.navigator.az/firm/16328/info/,AZERIMED Aptek Sevgi,Мир-Джалала 11 Бинагадинский район,"(+99412) 430-43-17,*7700"
https://www.navigator.az/firm/16324/info/,AZERIMED Aptek Azadlig,Мамедовой Шовкет 6 E Бинагадинский район Азадлыг,"*7700,(+99455) 455-85-46,(+99412) 562-61-16"
https://www.navigator.az/firm/1886/info/,BANOVSHA Green Pharmacy №623,Рафиева Наджафгулу 25 Хатаинский район Шах Исмаил Хатаи,"(+99450) 372-01-27,(+99412) 489-07-48"
https://www.navigator.az/firm/16325/info/,AZERIMED Aptek Aygun,Ахундова Сулеймана Сани 2/1 Бинагадинский район,"(+99412) 561-74-09,*7700"
https://www.navigator.az/firm/16327/info/,AZERIMED Aptek Oskar,Мир-Джалала 72 Бинагадинский район Насими,"(+99412) 560-47-20,*7700,(+99455) 455-85-74"
https://www.navigator.az/firm/23347/info/,BUTA Aptek 28 May,Тебриза 7 Насиминский район 28 мая,(+99412) 541-67-15
https://www.navigator.az/firm/18158/info/,APTEK №221,"Мехбалыева Ахмеда 9, Гарачухурский пос. Сураханский район",(+99412) 427-09-87
https://www.navigator.az/firm/25251/info/,AMPULA APTEK,Самеда Вургуна 112 Насиминский район - Ориентир: Парк Зорге,"(+99412) 440-73-44,(+99450) 667-37-37"
https://www.navigator.az/firm/29709/info/,CAN PHARMACY,Рашида Бейбутова 48 Насиминский район,"(+99412) 441-30-65,(+99450) 960-22-60,(+99470) 441-30-65"
https://www.navigator.az/firm/776/info/,ELGUL Аптека №925,Алиевой Зарифы 40 (бывший 22) Сабаильский район Сахиль,"(+99412) 492-40-87,(+99450) 371-03-03"
https://www.navigator.az/firm/21223/info/,ELITE APTEK MONTE KRISTO,Хандана Джафара 13 Бинагадинский район,(+99412) 563-54-51
https://www.navigator.az/firm/12726/info/,ELECTRON Aptek,Сурхай Джаббарлы 1 Бакиханова пос. район,(+99412) 429-78-97
https://www.navigator.az/firm/780/info/,ELITE APTEK,28 Мая 56 (бывший 20) Насиминский район 28 мая,"(+99412) 493-99-32,(+99412) 409-40-06,(+99455) 267-95-32,(+99450) 701-23-45"
https://www.navigator.az/firm/9168/info/,EMIL Aptek,Раджабли Ахмеда 3 B Наримановский район Нариман Нариманова,"(+99412) 465-67-38,(+99470) 665-67-38"
https://www.navigator.az/firm/2466/info/,DIABET Aptek,Джафара Джаббарлы 18 Ясамальский район Низами,(+99412) 594-45-23
https://www.navigator.az/firm/3025/info/,ESKULAP Aptek,Рашида Бейбутова 42 Насиминский район 28 мая,(+99412) 493-52-48
https://www.navigator.az/firm/3971/info/,DOCTOR Chemist's shop №44,Караева Кары пр-т. 61С Низаминский район Нефтчиляр,(+99412) 422-48-92
https://www.navigator.az/firm/2192/info/,CHEBURASHKA Aptek №728,Курбанова Шихали 17 Ясамальский район Низами,"(+99450) 615-50-55,(+99412) 594-60-36"
https://www.navigator.az/firm/4939/info/,FATIMA,Шарифзаде 148 K Ясамальский район Иншаатчылар,(+99412) 533-05-69
https://www.navigator.az/firm/4795/info/,LOGMAN Aptek Aga Neymatulla,Ага Нейматуллы 37 Наримановский район Нариман Нариманова,(+99412) 567-74-13
https://www.navigator.az/firm/30234/info/,KANON APTEK (1),Багировой Басти 14 Ясамальский район,(+99412) 436-98-05
https://www.navigator.az/firm/16145/info/,INAM 28 May,Алиевой Диляры 235 Насиминский район 28 мая,"(+99470) 534-86-06,(+99412) 498-73-76,(+99450) 368-86-12"
https://www.navigator.az/firm/30201/info/,HEKIMOGLU (3),Азербайджан пр-т. 4 Сабаильский район,(+99450) 401-54-35
https://www.navigator.az/firm/16142/info/,INAM Binagadi,"Мамедовой Светланы 207, 6-й мкр. Бинагадинский район Насими","(+99412) 568-98-20,(+99470) 578-98-20"
https://www.navigator.az/firm/23391/info/,KAPSULA Aptek,Самеда Вургуна 85 Насиминский район 28 мая,"(+99450) 253-72-52,(+99412) 596-32-05"
